"","Abbreviations","Period","Group","Period2","Period3","Order","Order2","Group2","Age2","Diet","FAD_Ma","LAD_Ma","Body_mass_mg","Body_mass_g","Brain_volume_cm3","Brain_volume_mm3","Olfactory_bulbs_mm3","Neocortex_surface_mm2","Brain_surface_mm2","OB_percentage","Neorcortex_surface_percentage","Collection.number","Status","NALMA.SALMA.ELMA.ALMA","PEQ","predicted","residuals"
"Vulpavus_profectus","Vu_pr","Eocene","Eocene archaic taxa","middle Eocene","middle Eocene","Carnivoramorpha","Carnivoramorpha","Eocene archaic taxa","middle Eocene","Omnivorous-Carnivorous",49.25,48.6,2573270,2573.27,12.066,12066,908.196,850.02,3987,7.526902039,21.31978932,"AMNH 12626","segmented","Bridgerian Br2",0.306062332908822,1.05406813330659,0.0274951876738003
"Vulpavus_ovatus","Vu_ov","Eocene","Eocene archaic taxa","middle Eocene","middle Eocene","Carnivoramorpha","Carnivoramorpha","Eocene archaic taxa","middle Eocene","Omnivorous-Carnivorous",52.1,49.25,3787570,3787.57,12.358,12358,1057.11,1069.42,4196.5,8.554054054,25.4836173,"AMNH 11498","segmented","Bridgerian Br1",0.249561052781225,1.15308608446765,-0.0611378935890938
"Paramys_delicatus","Pa_de","Eocene","Eocene crown clades","middle Eocene","middle Eocene","Rodentia","Rodentia","Eocene crown clades","middle Eocene",NA,49.25,48.6,2154490,2154.49,12.5654,12565.4,595.51,790.48,4864.86,4.739284066,16.2487718,"AMNH 12506","literature","Bridgerian Br2",0.35393450706279,1.00856810554183,0.0906082126973629
"Pseudotomus_horribilis","Ps_ho","Eocene","Eocene crown clades","middle Eocene","middle Eocene","Rodentia","Rodentia","Eocene crown clades","middle Eocene",NA,49.25,48.6,4850480,4850.48,15.1882,15188.2,808.92,1103.54,5842.8,5.325976745,18.88717738,"USNM 17159","literature","Bridgerian Br2",0.265077560878698,1.21644804809103,-0.0349417407449084
"Pseudotomus_oweni","Ps_ow","Eocene","Eocene crown clades","middle Eocene","middle Eocene","Rodentia","Rodentia","Eocene crown clades","middle Eocene",NA,48.6,47.9,3665510,3665.51,12.063,12063,717.06,1087.42,4744.38,5.944292465,22.92017081,"USNM 17161","literature","Bridgerian Br3",0.248356210608767,1.14469500513862,-0.0632396773160488
"Pseudotomus_petersoni","Ps_pe","Eocene","Eocene crown clades","middle Eocene","middle Eocene","Rodentia","Rodentia","Eocene crown clades","middle Eocene",NA,45.3,42.8,4386240,4386.24,17.0149,17014.9,704.34,1337.58,5843.7,4.139548278,22.88926536,"AMNH 2018","literature","Uintan Ui2",0.315113578601811,1.19067698811516,0.0401524128878818
"Pseudotomus_hians","Ps_hi","Eocene","Eocene crown clades","middle Eocene","middle Eocene","Rodentia","Rodentia","Eocene crown clades","middle Eocene",NA,49.25,48.6,2306480,2306.48,13.6791,13679.1,743.2,1123.12,4878.63,5.433105979,23.02121702,"AMNH 5025","literature","Bridgerian Br2",0.370119581607663,1.02603015675892,0.110027367679881
"Reithroparamys_delicatissimus","Re_de","Eocene","Eocene crown clades","middle Eocene","middle Eocene","Rodentia","Rodentia","Eocene crown clades","middle Eocene",NA,49.25,48.6,749280,749.28,6.43398,6433.98,206.31,550.88,3178.9,3.206568873,17.32926484,"AMNH 12561","literature","Bridgerian Br2",0.337894914377629,0.73801272855682,0.0704669780086432
"Rapamys_atramontis","Ra_at","Eocene","Eocene crown clades","middle Eocene","middle Eocene","Rodentia","Rodentia","Eocene crown clades","middle Eocene",NA,39.8,37.8,1079530,1079.53,6.55822,6558.22,225.338,763.645,3321.41,3.461386261,22.99159092,"AMNH 128706; AMNH 128704","literature","Duchesnean Du",0.277681152615576,0.831554260926419,-0.014768279641648
"Microsyops_annectens","Mi_an","Eocene","Eocene archaic taxa","middle Eocene","middle Eocene","Microsyops annectens","Microsyops annectens","Eocene archaic taxa","middle Eocene",NA,48.6,47.9,1432450,1432.45,5.9,5900,300.55,632.56,2956.19,5.094067797,21.39781273,"UW 12362","literature","Bridgerian Br3",0.211424286908174,0.9040118245932,-0.133159812951055
"Rooneyia_viejaensis","Ro_vi","Eocene","Eocene crown clades","middle Eocene","middle Eocene","Primates","Primates","Eocene crown clades","middle Eocene",NA,39.8,37.8,341310,341.31,7.23,7230,68,1054.55,2409.33,0.940525588,43.76942968,"TMM 40688-7","literature/segmented","Duchesnean Du",0.603760114868729,0.536588542678591,0.322549754615939
"Notharctus_tenebrosus","No_te","Eocene","Eocene crown clades","middle Eocene","middle Eocene","Primates","Primates","Eocene crown clades","middle Eocene",NA,49.25,48.6,2100070,2100.07,7.623333333,7623.333333,149,917.83,3035.943333,1.946974682,30.23211896,"AMNH 127167; USNM V 23277; USNM V 23278","literature/segmented","Bridgerian Br2",0.217994196847924,1.00201467073295,-0.119869760864853
"Smilodectes_gracilis","Sm_gr","Eocene","Eocene crown clades","middle Eocene","middle Eocene","Primates","Primates","Eocene crown clades","middle Eocene",NA,49.25,47.9,1238640,1238.64,8.37,8370,137.55,1062.7875,3387.77,1.628570826,31.37130029,"USNM V 17994; USNM V 17996; USNM V 21815; UM 32773 (=MPM 2612)","literature/segmented","Bridgerian Br2-Br3",0.32678859097875,0.866773257348382,0.0559522006448783
"Necrolemur_antiquus","Ne_an","Eocene","Eocene crown clades","middle to late Eocene","middle Eocene","Primates","Primates","Eocene crown clades","middle Eocene",NA,37.8,33.75,120530,120.53,2.355,2355,45.6,NA,1266,1.936305732,NA,"MaPhQ 289","literature/segmented","MP17 - MP20",0.363372532279374,0.269953464753479,0.102037446711436
"Moeritherium_lyonsi","Mo_ly","Eocene","Eocene crown clades","middle to late Eocene","middle Eocene","Moeritherium lyonsi","Moeritherium lyonsi","Eocene crown clades","middle Eocene","Herbivorous",37.8,33.9,2.35e+08,235000,240,240000,NA,NA,NA,NA,NA,"BM 9176","literature","Priabonian",0.424665360669281,2.2104791712387,0.169732070472906
"Basilosaurus_isis","Ba_is","Eocene","Eocene crown clades","middle to late Eocene","middle Eocene","Archaeoceti (Basilosauridae)","Archaeoceti","Eocene crown clades","middle Eocene",NA,41.2,33.9,6.48e+09,6480000,2800,2800000,NA,NA,NA,NA,NA,"UM 94800, 94801, 97503","literature","Bartonian-Priabonian",0.700388274304095,3.06013398377782,0.387024047564402
"Dorudon_atrox","Do_at","Eocene","Eocene crown clades","middle to late Eocene","middle Eocene","Archaeoceti (Basilosauridae)","Archaeoceti","Eocene crown clades","middle Eocene",NA,41.2,33.9,1.126e+09,1126000,1173,1173000,NA,NA,NA,NA,NA,"UM 101215, 101222","literature","Bartonian-Priabonian",0.823704563851355,2.61184133156007,0.45745668055546
"Rodhocetus_kasrani","Ro_ka","Eocene","Eocene crown clades","middle Eocene","middle Eocene","Archaeoceti (Protocetidae)","Archaeoceti","Eocene crown clades","middle Eocene",NA,47.8,41.2,5.9e+08,590000,290,290000,NA,NA,NA,NA,NA,"GSP-UM 1853, 3012","literature","Lutetian",0.298145864058666,2.44628399039482,0.0161140075041382
"Dalanistes_ahmedi","Da_ah","Eocene","Eocene crown clades","middle Eocene","middle Eocene","Archaeoceti (Remingtonocetidae)","Archaeoceti","Eocene crown clades","middle Eocene",NA,47.8,41.2,7.5e+08,750000,400,4e+05,NA,NA,NA,NA,NA,"GSP-UM 3099, 3106, 3165","literature","Lutetian",0.356964483962468,2.50774976837,0.0943102229579624
